codeleccion,deseleccion,coddepartamento,desdepartamento,coddistrito,desdistrito,codzona,deszona,codlocal,deslocal,mesa,tipo,id_credencial
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,8,8-MISIONES,3,3-SAN IGNACIO,0,0-SAN IGNACIO,1,1-ESC. BAS N°392 SANTO ANGEL  ,1,NORMAL,30201600
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,9,9-PARAGUARI,5,5-CARAPEGUA,0,0-CARAPEGUA,1,1-ESC MODELO GRAL DIAZ,1,NORMAL,58344212
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,10,10-ALTO PARANA,0,0-CIUDAD DEL ESTE,0,0-CIUDAD DEL ESTE,1,1-POLIDEPORTIVO MUNICIPAL DON CARLOS BARRETO SARUBBI,1,NORMAL,50614157
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,11,11-CENTRAL,9,9-ITAUGUA,0,0-ITAUGUA,1,1-REGISTRO ELECTORAL  DE ITAUGUA,1,NORMAL,87936991
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,12,12-ÑEEMBUCU ,3,3-CERRITO,0,0-CERRITO,1,1-REGISTRO ELECTORAL DE CERRITO,1,NORMAL,89600924
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,13,13-AMAMBAY,0,0-PEDRO J. CABALLERO,0,0-PEDRO J. CABALLERO,1,1-REGISTRO ELECTORAL DE PEDRO JUAN CABALLERO ,1,NORMAL,63797052
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,14,14-CANINDEYU,0,0-SALTO DEL GUAIRA,0,0-SALTO DEL GUAIRA,1,1-COL. NAC. DE S.D.G.,1,NORMAL,21379186
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,15,15-PRESIDENTE HAYES,0,0-VILLA HAYES,0,0-VILLA HAYES,1,1-ESC. DR. RAUL PEÑA,1,NORMAL,40634216
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,16,16-ALTO PARAGUAY ,2,2-CARMELO PERALTA,0,0-CARMELO PERALTA,1,1-REGISTRO ELECTORAL DE CARMELO PERALTA,1,NORMAL,84791875
233,MOVIMIENTO POLÍTICO NUEVA REPÚBLICA,17,17-BOQUERON ,3,3-MCAL.ESTIGARRIBIA,0,0-MCAL. ESTIGARRIBIA,1,1-TINGLADO DEL CENTRO SOCIAL,1,NORMAL,17639376
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,0,0-CAPITAL,0,0-ASUNCION,0,0-ASUNCION,1,1-JUSTICIA ELECTORAL SEDE CENTRAL ,1,NORMAL,89295826
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,1,1-CONCEPCION,0,0-CONCEPCION,0,0-CONCEPCION,1,1-ESC. PRESIDENTE FRANCO  (EX-ESC. NORMAL),1,NORMAL,90002374
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,2,2-SAN PEDRO,24,24-SANTA ROSA DEL AGUARAY,0,0-STA.ROSA DEL AGUARAY,1,1-ESCUELA BASICA Nº 4995 SANTO DOMINGO DE GUZMAN DE SANTA ROSA,1,NORMAL,17790832
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,3,3-CORDILLERA,11,11-EMBOSCADA,0,0-EMBOSCADA,1,1-REGISTRO ELECTORAL DE EMBOSCADA,1,NORMAL,13912395
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,4,4-GUAIRA,0,0-VILLARRICA,0,0-VILLARRICA,1,1-REGISTRO ELECTORAL VILLARRICA,1,NORMAL,39303011
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,5,5-CAAGUAZU,25,25-REPATRIACION,0,0-REPATRIACION,1,1-REGISTRO ELECTORAL DE REPATRIACION,1,NORMAL,15472397
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,6,6-CAAZAPA,0,0-CAAZAPA,0,0-CAAZAPA,1,1-TINGLADO - EX. MUNICIPALIDAD DE CAAZAPA,1,NORMAL,18612839
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,7,7-ITAPUA,53,53-TOMAS ROMERO PEREIRA,0,0-TOMAS ROMERO PEREIRA,1,1-ESC. MANUEL ORTIZ GUERRERO,1,NORMAL,27066646
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,8,8-MISIONES,5,5-SAN MIGUEL,0,0-SAN MIGUEL,1,1-REGISTRO ELECTORAL SAN MIGUEL,1,NORMAL,68149901
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,9,9-PARAGUARI,17,17-QUIINDY,0,0-QUIINDY,1,1-TINGLADO MUNICIPAL,1,NORMAL,29599706
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,10,10-ALTO PARANA,25,25-PRESIDENTE FRANCO,0,0-PRESIDENTE FRANCO,1,1-COL.NACIONAL PARAGUAY BRASIL,1,NORMAL,12651346
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,11,11-CENTRAL,29,29-VILLA ELISA,0,0-VILLA ELISA,1,1-REGISTRO ELECTORAL DE VILLA ELISA,1,NORMAL,89989862
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,12,12-ÑEEMBUCU ,0,0-PILAR ,0,0-PILAR ,1,1-ESCUELA JUAN PABLO II,1,NORMAL,92087633
235,MOVIMIENTO INDEPENDIENTE COORDINADORA PATRIOTICA CIUDADANA,13,13-AMAMBAY,0,0-PEDRO J. CABALLERO,0,0-PEDRO J. CABALLERO,1,1-REGISTRO ELECTORAL DE PEDRO JUAN CABALLERO ,1,NORMAL,71038322
